serieID,title,avgEpisodeDuration,productionYear,ageCategoryName,serieDescription,seasons
1,Devolved foreground Graphic Interface,41.7652,2018,PG-13,"Center final door memory sing yourself reality sometimes. Run already practice firm.
Follow message article something design. Science TV pass from. Guy common easy go nature article.",10
2,Cross-platform multi-tasking standardization,39.982,2016,15+,Contain movement or yard coach. Piece call table manage understand answer PM.,8
3,Streamlined dedicated definition,39.5,2018,18+,"Than least wide theory. Here that current dinner customer process.
Often popular face go behind. Send page among simply democratic edge.",3
4,Optimized systematic encryption,40.3043,2019,G,"Whatever lawyer interview baby story wait. Customer threat inside doctor. Office institution record board father.
Air provide magazine allow part the power. Office who political.",5
5,Reverse-engineered zero tolerance groupware,34.8095,2022,14A,"Notice analysis adult case whose. Society age plan dog together.
Oil together most soldier contain loss various. Song must place medical computer.",2
6,Fundamental explicit application,40.4167,2020,NC-17,"Raise she event interesting particularly well audience. Near subject star kid.
Sense defense reveal live manager go.",1
7,User-centric zero administration ability,39.7246,2018,PG,Worry small alone police either paper defense. Into own media trial choice amount. Table remember institution left administration response.,6
8,Synchronized clear-thinking groupware,39.89,2017,18+,"National mouth radio state life size. Instead technology occur much point boy condition.
Author hundred note perhaps social. Down maintain data.",8
9,Progressive intermediate Graphic Interface,39.618,2019,12A,"Carry fact administration party simple bit heart. Economy pick many detail seem keep. Garden try resource everybody group.
Skin space ball painting age.",6
10,Customizable dedicated website,40.3649,2021,15+,"Travel share character ready entire serve threat. Address less common.
And space myself. Room participant book author.",6
11,Optional contextually-based array,40.7642,2019,NC-17,"Responsibility staff onto must. Reflect nice can worker protect. Concern return forget such financial say rock.
Thank believe computer quality. Among unit see everyone lose trial six.",8
12,Streamlined fault-tolerant forecast,39.3077,2018,U,"Fire doctor moment scientist budget. Kind individual weight country notice. Nice very window wish involve couple.
Traditional Democrat hour. Sell consumer such next each safe large.",9
13,Versatile intermediate paradigm,41.375,2020,G,Eye character man city generation according throw only. Experience three through report.,6
14,Versatile responsive algorithm,39.6364,2019,18+,"Local business religious human wear age. Weight at particular two.
Nor want from process hundred involve which.",7
15,Universal disintermediate portal,40.0481,2019,14A,"Animal purpose stop space citizen. Cold cell occur foreign first. Effect plan fact side direction compare lead.
Question month beyond. Trouble deep old situation sit.",9
16,Business-focused cohesive methodology,38.8108,2017,NC-17,Woman mention four probably past politics board. Along talk return such party heart. Rich receive represent data program know successful. Suggest identify south.,9
17,Operative directional capacity,39.916,2021,12A,Including line be they. Fight network analysis public voice represent.,10
18,Exclusive eco-centric matrix,42.9643,2021,R,"Soon table morning language power forget. Mother option few when door drop down stage.
Air line local.
Anything notice paper. Box there picture mouth. Admit truth entire industry.",2
19,Synchronized scalable software,38.2317,2022,NC-17,"Ahead focus western difficult.
Keep health physical. Subject religious outside consumer.
Financial run girl clearly mission. Head hear simply reflect couple debate international.",7
20,Ameliorated explicit algorithm,41.4688,2016,15+,Then bag economy example. Thus contain woman station keep same. Program data involve message. Thing music wrong watch safe national cut project.,8
21,Cross-platform transitional complexity,40.6565,2018,12A,"Power PM Mr. White field itself president hair walk. Mention ball girl school central staff. Window paper type size small.
New have make. Arrive prevent do perhaps everybody.",10
22,Programmable optimizing algorithm,38.2,2018,14A,"Natural page end above. Order store hour knowledge start career speak.
Since senior quite worker bring dinner way leader.
Move word unit them. Themselves sport cover director.",7
23,Total high-level productivity,38.5333,2016,14A,"Cut source brother half. Perhaps kid animal into. About another production meet.
Give conference well argue sister act. New above design population kitchen. Direction world star small.",1
24,Multi-lateral real-time migration,39.6753,2017,16+,Film wall economic today garden accept. Writer already single forget begin should. Sing finish another marriage sometimes yard.,6
25,Multi-layered analyzing hub,38.2963,2018,18+,Amount talk action both understand be. Stay heart catch voice design serious process.,10
26,Progressive multimedia service-desk,40.863,2021,U,"Past away science always. Ready cut little.
Role any return citizen happen Mr determine. Wear similar allow create think allow.",5
27,User-centric encompassing analyzer,41.6762,2019,14A,Paper address so according. Political whole young actually support back group. Try type night cause.,9
28,Optional high-level monitoring,40.3396,2020,NC-17,"Consumer just religious. News phone study study ball dark capital.
Open radio together performance. Security use operation foot bring community.
Walk ok chance star talk. Note consumer grow show his.",8
29,Right-sized systematic encryption,41.1795,2015,18+,Skin war let by listen physical. Despite before really rich fill. Crime hit him law red.,6
30,Customer-focused client-driven info-mediaries,38.3143,2020,18+,"Window discover left color race safe answer. Do century if.
Firm your single family alone picture such life. Among hand tend today its civil.",6
31,Ergonomic systemic customer loyalty,39.1905,2021,NC-17,Mind role street indicate citizen manager. Now hotel toward the. Child house professor significant since environmental whole. Question pull personal money benefit first.,4
32,Grass-roots hybrid capacity,40.3646,2019,NC-17,Remain international glass half evidence. Sense window show water network. Experience none show although also turn animal.,8
33,Phased user-facing groupware,41.0,2022,U,"Suddenly read food chair another alone. Apply discussion fire.
Own every son professor quality often door. Support store until family late mother hear. Attack generation adult rock society movement.",1
34,Re-engineered exuding customer loyalty,37.0345,2016,PG-13,"Pretty natural test the day turn. Usually marriage just chance tough.
Degree brother difficult for nearly mind. Share either lot example discuss current field score.",3
